YPF-00000005        ,M,ACEITE 2T - 100 CM3                                         ,RE2T           ,YPF-ELAION          ,YPF-00000005.jpg              ,0
VAR-AA121060        ,M,BOMBA DE ACEITE 4T (39 DIENTES) FL                          ,RE4T FL        ,VARROC              ,VAR-AA121060.jpg              ,0
BAJ-AA121336        ,M,BOMBA DE ACEITE COMPLETA 4T                                 ,REFL           ,BAJAJ               ,BAJ-AA121336.jpg              ,0
END-AB151063        ,M,BOMBA DE FRENO MAESTRO COMPLETO                             ,RE2T. RE4T     ,ENDURANCE           ,END-AB151063.jpg              ,0
BAJ-AB151063        ,M,BOMBA MASTER COMPLETA 175/205                               ,RE175. RE205   ,BAJAJ               ,BAJ-AB151063.jpg              ,0
END-24151258        ,M,BOMBA MASTER FL                                             ,REFL           ,ENDURANCE           ,END-24151258.jpg              ,0
END-00000005        ,M,BOMBA MASTER XCROM                                          ,XCROM          ,ENDURANCE           ,END-00000005.jpg              ,0
END-24151163        ,M,BOMBIN DELANTERO                                            ,RE2T. RE4T     ,ENDURANCE           ,END-24151163.jpg              ,0
ATM-24151163        ,M,BOMBIN DELANTERO                                            ,RE2T. RE4T     ,ATMAK               ,ATM-24151163.jpg              ,0
END-24151164        ,M,BOMBIN POSTERIOR                                            ,RE2T. RE4T     ,ENDURANCE           ,END-24151164.jpg              ,0
ATM-24151164        ,M,BOMBIN POSTERIOR                                            ,RE2T. RE4T     ,ATMAK               ,ATM-24151164.jpg              ,0
LUM-AF201146        ,H,BOTON DE ARRANQUE                                           ,RE205          ,LUMAX               ,LUM-AF201146.jpg              ,0
ATM-24161267        ,M,BRAZO CONECTOR                                              ,RE2T.RE4T      ,ATMAK               ,MRP-24161267.jpg              ,0
END-24151169        ,M,BRAZO PUNTAL COMPLETO DELANTERO                             ,RE2T. RE4T     ,ENDURANCE           ,END-24151169.jpg              ,0
END-24151180        ,M,BRAZO PUNTAL COMPLETO DERECHO                               ,RE2T. RE4T     ,ENDURANCE           ,END-24151180.jpg              ,0
END-24151179        ,M,BRAZO PUNTAL COMPLETO DERECHO  XCROM -FL                    ,RE FL . XCROM  ,ENDURANCE           ,END-24151179.jpg              ,0
END-24151175        ,M,BRAZO PUNTAL COMPLETO IZQUIERDO XCROM - FL                  ,RE FL . XCROM  ,ENDURANCE           ,END-24151176.jpg              ,0
VAR-24171180        ,M,BRAZO TRAPECIO 2T-4T FL DER.                                ,RE2T. RE4T (FL),VARROC              ,VAR-24171180.jpg              ,0
VAR-24171179        ,M,BRAZO TRAPECIO 2T-4T FL IZQ.                                ,RE2T. RE4T (FL),VARROC              ,VAR-24171179.jpg              ,0
VAR-24171121        ,M,BRAZO TRAPECIO DERECHO                                      ,RE2T. RE175    ,VARROC              ,VAR-24171121.jpg              ,0
VAR-24171120        ,M,BRAZO TRAPECIO IZQUIERDO                                    ,RE2T. RE175    ,VARROC              ,VAR-24171120.jpg              ,0
CHA-AB111015/CNG    ,M,BUJIA PRL9YC - CHAMPIONS                                    ,RE4T           ,CHAMPIONS           ,CHA-AB111015_CNG.png          ,0
ATM-G4170020        ,H,CABLE DE ACELERADOR C/FUNDA TVS KIGN                        ,TVS KING       ,ATMAK               ,ATM-G4170020.jpg              ,0
MRP-00000002        ,H,CABLE DE BUJIA 2T                                           ,RE2T           ,MRP                 ,MRP-00000002.jpg              ,0
MRP-AA191065        ,H,CABLE Y FUNDA COMPLETO DE ACELERADOR (SET'01-JUL'07)        ,RE175          ,MRP                 ,MRP-AA191065.jpg              ,0
MRP-22191096        ,H,CABLE Y FUNDA COMPLETO DE VELOCIMETRO 2T/4T MODERNO         ,RE 2T. RE175   ,MRP                 ,MRP-22191096.jpg              ,0
BAJ-AA101569        ,M,CADENA DE LEVAS -TORO                                       ,RE205          ,BAJAJ               ,BAJ-AA101569.jpg              ,0
MRP-AB181012        ,H,CANASTILLA GRANDE ANTIDIVE                                  ,RE2T. RE4T     ,MRP                 ,MRP-AB181012.jpg              ,0
ATM-00000001        ,M,CANDADO FL                                                  ,RE2T.RE4T      ,ATMAK               ,ATM-00000001.jpg              ,0
NAC-22191093        ,H,CANDADO RE175 RE205                                        ,RE175. RE205   ,NACIONAL            ,NAC-22191093.jpg              ,0
ATM-AA171025        ,M,CAÑA DE DIRECCION FL                                        ,RE2T. RE4T     ,ATMAK               ,ATM-AA171025.jpg              ,0
ATM-AP181012        ,H,CAÑA DE TIMON DOBLE FL                                      ,REFL           ,ATMAK               ,ATM-AP181012.jpg              ,0
ATM-AA111074        ,M,CAPUCHON BUJIA RE175/205                                    ,RE175. RE205   ,ATMAK               ,ATM-AA111074.jpg              ,0
BAJ-AA111074        ,M,CAPUCHON DE BUJIA 1KOHM                                     ,TORITO 4T      ,BAJAJ               ,BAJ-AA111074.jpg              ,0
BAJ-AE121006        ,M,CARBURADOR 5L                                               ,RE2T           ,BAJAJ               ,BAJ-AE121006.jpg              ,0
BAJ-24121457        ,M,CARBURADOR 5L MODERNO                                       ,RE175. RE205   ,BAJAJ               ,BAJ-24121457.jpg              ,0
ATM-00000027        ,M,CARCAZA DE PAQUETE EMBRAGUE 2T 5L                           ,RE2T 5L        ,ATMAK               ,ATM-00000027.jpg              ,0
END-35101170        ,M,CARCAZA DE PAQUETE EMBRAGUE 5L                              ,RE2T           ,ENDURANCE           ,END-35101170.jpg              ,0
ATM-24191101        ,M,CARRETEL DE CABLE ACELERADOR                                ,RE205          ,ATMAK               ,ATM-24191101.jpg              ,0
ATM-24191100        ,M,CARRETEL DE CABLE CAMBIO                                    ,RE205          ,ATMAK               ,ATM-24191100.jpg              ,0
SPM-AN111014        ,M,CDI (NEGRO) RE205                                           ,RE205          ,SPARK MINDA         ,SPM-AN111014.jpg              ,0
VAR-AN111014        ,M,CDI 205 (LPG/CNG)                                           ,RE205          ,VARROC              ,VAR-AN111014.jpg              ,0
VAR-AN111007        ,M,CDI 205 (NEGRO)                                             ,RE205          ,VARROC              ,VAR-AN111007.jpg              ,0
SPM-24111189        ,M,CDI 2T 5L                                                   ,RE2T           ,SPARK MINDA         ,SPM-24111189.jpg              ,0
VAR-24111189        ,M,CDI 2T 5L                                                   ,RE2T 5L        ,VARROC              ,VAR-24111189.jpg              ,0
VAR-00000010        ,M,CDI 4T FL (CNG) NEGRO                                       ,RE FL          ,VARROC              ,VAR-00000010.jpg              ,0
VAR-00000009        ,M,CDI 4T FL (LPG) ROJO                                        ,RE FL          ,VARROC              ,VAR-00000009.jpg              ,0
VAR-AA111124        ,M,CDI ELECTRONICO AMARILLO                                    ,RE2T. RE4T     ,VARROC              ,VAR-AA111124.jpg              ,0
VAR-AA111091        ,M,CDI ELECTRONICO VERDE                                       ,RE4T           ,VARROC              ,VAR-AA111091.jpg              ,0
VAR-AA111123        ,M,CDI PLOMO                                                   ,RE4T           ,VARROC              ,VAR-AA111123.jpg              ,0
VAR-G4060040        ,M,CDI TVS                                                     ,TVS KING       ,VARROC              ,VAR-G4060040.jpg              ,0
ATM-G4060130        ,H,CDI TVS KING                                                ,TVS KING       ,ATMAK               ,ATM-G4060130.jpg              ,0
CLP-15790           ,H,CHAPA DE PUERTA LATERAL DELANTERA                           ,RE2T. RE4T     ,CILIPARTS           ,CLP-15790.jpg                 ,0
MRP-00000003        ,H,CHAPA DE PUERTA POSTERIOR                                   ,RE2T. RE4T     ,MRP                 ,MRP-00000003.jpg              ,0
SPM-36244028        ,M,CHAPA ENCENDIDO 2T FL (SW-0169EZ)                           ,RE 2T FL       ,SPARK MINDA         ,SPM-36244028.jpg              ,0
SPM-AF201131        ,M,CHAPA ENCENDIDO RE2175/205 (2013)                           ,RE175. RE205   ,SPARK MINDA         ,SPM-AF201131.jpg              ,0
BAJ-31101173        ,M,CHAVETA DE CIGÜEÑAL                                         ,RE175          ,BAJAJ               ,BAJ-31101173.jpg              ,0
BAJ-AA101345        ,M,CHAVETA DE CIGÜEÑAL                                         ,RE175          ,BAJAJ               ,BAJ-AA101345.jpg              ,0
MRP-24121077/78     ,H,CHICLER Nº 78 5L                                            ,RE2T           ,MRP                 ,MRP-24121077_78.jpg           ,0
MRP-24121077/80     ,H,CHICLER Nº 80 5L                                            ,RE2T           ,MRP                 ,MRP-24121077_80.jpg           ,0
MRP-24121077/85     ,H,CHICLER Nº 85 5L                                            ,RE2T           ,MRP                 ,MRP-24121077_85.jpg           ,0
VAR-AB201074        ,M,CLAXON                                                      ,RE2T. RE4T     ,VARROC              ,VAR-AB201074.jpg              ,0
BAJ-AA101154        ,M,COLADOR DE ACEITE                                           ,RE205          ,BAJAJ               ,BAJ-AA101154.jpg              ,0
MRP-00000004        ,H,CONTRACHAPA                                                 ,RE2T. RE4T     ,MRP                 ,MRP-00000004.jpg              ,0
VAR-AA101722        ,M,COPA DE PALIER LADO DIFERENCIAL GRANDE 4C                   ,RE205 .FL      ,VARROC              ,VAR-AA101722.jpg              ,0
VAR-BA132172        ,M,COPA DE PALIER LADO DIFERENCIAL GRANDE 4C                   ,R2T. RE4T      ,VARROC              ,VAR-BA132172.jpg              ,0
VAR-AA101721        ,M,COPA DE PALIER LADO MOTOR MEDIANA 4C                        ,RE205 .FL      ,VARROC              ,VAR-AA101721.tif              ,0
VAR-AY141202        ,M,COPA DE PALIER LADO RUEDA 4C                                ,RE205 .FL      ,VARROC              ,VAR-AY141202.jpg              ,0
MRP-BA1321712C      ,H,COPA DE PALIER LADO SATELITE MEDIANA 2C                     ,RE2T. RE4T     ,MRP                 ,MRP-BA1321712C.jpg            ,0
VAR-BA132171        ,M,COPA DE PALIER LADO SATELITE MEDIANA 4C                     ,RE2T. RE4T     ,VARROC              ,VAR-BA132171.jpg              ,0
ATM-BA132172        ,M,COPA GRANDE RE175 C/KIT DADOS - RETEN                       ,RE 175         ,ATMAK               ,ATM-BA132172.jpg              ,0
ATM-BA132173        ,M,COPA RUEDA RE175 C/KIT DADOS - RETEN                        ,RE175          ,ATMAK               ,ATM-BA132173.jpg              ,0
GRR-AB101067        ,M,CRUCETA 4T GR                                               ,RE4T           ,GR                  ,GRR-AB101067.jpg              ,0
BAJ-AA101262        ,M,CUBIERTA CENTRAL DE ENFRIADOR                               ,RE175          ,BAJAJ               ,BAJ-AA101262.jpg              ,0
END-AA101592        ,M,CUBIERTA DE EMBRAGUE COMPLETA (74 DIENTES) GLP              ,RE205 .FL      ,ENDURANCE           ,END-AA101592.jpg              ,0
LUM-AB111107        ,H,CUBIERTA DE IMANES DE LA ARMADURA (YOKE)                    ,RE2T. RE4T     ,LUMAX               ,LUM-AB111107.jpg              ,0
VAR-AB111107        ,M,CUBIERTA DE IMANES DE LA ARMADURA (YOKE)                    ,RE2T. RE4T     ,VARROC              ,VAR-AB111107.jpg              ,0
BAJ-AA101512        ,M,CUBIERTA INTERNA DE EMBRAGUE                                ,RE205          ,BAJAJ               ,BAJ-AA101512.jpg              ,0
END-AA101473        ,M,CUBO DE EMBRAGUE 4T - PARA AA101469                         ,RE205. REFL    ,ENDURANCE           ,END-AA101473.jpg              ,0
MRP-24171068        ,H,DADO DE PALIER                                              ,RE2T. RE4T     ,MRP                 ,MRP-24171068.jpg              ,0
END-AB151054        ,M,DEPOSITO LIQUIDO DE FRENO                                   ,RE2T. RE4T     ,ENDURANCE           ,END-AB151054.jpg              ,0
BAJ-JS172023        ,M,DIAFRAGMA  PRIMARIO                                         ,RE205 GLP      ,BAJAJ               ,BAJ-JS172023.png              ,0
BAJ-JS172015        ,M,DIAFRAGMA  SECUNDARIO                                       ,RE205 GLP      ,BAJAJ               ,BAJ-JS172015.png              ,0
END-AE101016        ,M,DISCO EMBRAGUE (SET / 3) 5L                                 ,RE2T           ,ENDURANCE           ,END-AE101016.jpg              ,0
ATM-AA101210        ,H,DISCO EMBRAGUE (SET / 7)                                    ,RE175          ,ATMAK               ,ATM-AA101210.jpg              ,0
END-AA101210        ,M,DISCO EMBRAGUE (SET / 7)                                    ,RE175          ,ENDURANCE           ,END-AA101210.jpg              ,0
END-AA101478        ,M,DISCO EMBRAGUE (SET / 7)  205                               ,RE205          ,ENDURANCE           ,END-AA101478.jpg              ,0
ATM-36AA4025        ,H,DISCO EMBRAGUE (SET / 7) FL                                 ,REFL           ,ATMAK               ,ATM-36AA4025.jpg              ,0
END-36AA4025        ,M,DISCO EMBRAGUE (SET / 7) FL                                 ,REFL           ,ENDURANCE           ,END-36AA4025.jpg              ,0
ATM-AA101478        ,H,DISCO EMBRAGUE (SET / 7) RE205                              ,RE205          ,ATMAK               ,ATM-AA101478.jpg              ,0
END-AP101292        ,M,DISCO EMBRAGUE COMPLETO (SET.4) 2T FL                       ,RE2T FL        ,ENDURANCE           ,END-AP101292.jpg              ,0
ATM-36JE0005        ,H,DISCO EMBRAGUE DELGADO                                      ,PUL135. DISC135,ATMAK               ,ATM-36JE0005.jpg              ,0
ATM-JZ551417        ,H,DISCO EMBRAGUE FL (SOLO)                                    ,REFL           ,ATMAK               ,ATM-JZ551417.jpg              ,0
END-JZ551417        ,M,DISCO EMBRAGUE FL (SOLO)                                    ,REFL           ,ENDURANCE           ,END-JZ551417.jpg              ,0
END-G4320690        ,M,DISCO EMBRAGUE TVS KING                                     ,TVS KING       ,ENDURANCE           ,END-G4320690.jpg              ,0
BAJ-AA101137        ,M,EJE DE BALANCIN 205                                         ,RE205          ,BAJAJ               ,BAJ-AA101137.jpg              ,0
BAJ-13101024        ,M,EJE DE BALANCIN 205D                                        ,RE205D         ,BAJAJ               ,BAJ-13101024.jpg              ,0
BAJ-AA101666        ,M,EJE DE LEVAS                                                ,RE205          ,BAJAJ               ,BAJ-AA101666.jpg              ,0
BAJ-AA102003        ,M,EJE DE LEVAS                                                ,REFL XCROM2    ,BAJAJ               ,BAJ-AA102003.jpg              ,0
BAJ-AA101392        ,M,EJE DE TREN FIJO                                            ,TORITO 4T      ,BAJAJ               ,BAJ-AA101392.jpg              ,0
VAR-AB171034        ,M,EJE DELANTERO ANTIGUO                                       ,RE2T. RE4T     ,VARROC              ,VAR-AB171034.jpg              ,0
VAR-24171118        ,M,EJE POSTERIOR MODERNO                                       ,RE2T. RE4T     ,VARROC              ,VAR-24171118.jpg              ,0
MRP-G2110530        ,H,EJE POSTERIOR TVS                                           ,TVS KING       ,MRP                 ,MRP-G2110530.jpg              ,0
MRP-24101100        ,H,EJE PROPULSOR 5L (MECHA MACHO)                              ,RE2T           ,MRP                 ,MRP-24101100.jpg              ,0
END-AA101598        ,M,EMBRAGUE COMPLETO 200CC. 74T - FL                           ,REFL           ,ENDURANCE           ,END-AA101598.jpg              ,0
ATM-AE101014        ,M,EMBRAGUE COMPLETO 2T 5L                                     ,RE2T           ,ATMAK               ,ATM-AE101014.jpg              ,0
BAJ-AE101014        ,M,EMBRAGUE COMPLETO 2T 5L                                     ,RE2T 5L        ,BAJAJ               ,BAJ-AE101014.jpg              ,0
END-AE101014        ,M,EMBRAGUE COMPLETO 2T 5L                                     ,RE2T 5L        ,ENDURANCE           ,END-AE101014.jpg              ,0
BAJ-24171081        ,M,EMBRAGUE COMPLETO 2T FL                                     ,RE2T FL        ,BAJAJ               ,BAJ-24171081.jpg              ,0
END-24171081        ,M,EMBRAGUE COMPLETO 2T FL                                     ,RE2T FL        ,ENDURANCE           ,END-24171081.jpg              ,0
ATM-AA101598        ,M,EMBRAGUE COMPLETO FL 74 DIENTES                             ,REFL           ,ATMAK               ,ATM-AA101598.jpg              ,0
ATM-AA101062        ,M,EMBRAGUE COMPLETO RE175                                     ,RE175          ,ATMAK               ,ATM-AA101062.jpg              ,0
ATM-AA101469        ,M,EMBRAGUE COMPLETO RE205 76 DIENTES                          ,RE205          ,ATMAK               ,ATM-AA101469.jpg              ,0
END-00000004        ,M,EMBRAGUE COMPLETO XCROM - 77 T                              ,XCROM          ,ENDURANCE           ,END-00000004.jpg              ,0
MRP-00000005        ,H,EMPAQUE BAQUELITA DE CARBURADOR                             ,RE2T.RE4T      ,MRP                 ,MRP-00000005.jpg              ,0
ATM-AA101013        ,H,EMPAQUE CILINDRO 4T                                         ,RE4T           ,ATMAK               ,ATM-AA101013.jpg              ,0
ATM-24101723        ,M,EMPAQUE CULATA 2T FL                                        ,RE2T FL        ,ATMAK               ,ATM-24101723.png              ,0
ATM-19101003        ,H,EMPAQUE CULATA 5L                                           ,RE2T           ,ATMAK               ,ATM-19101003.jpg              ,0
MRP-AA101328        ,H,EMPAQUETADURA CARTER                                        ,RE175          ,MRP                 ,MRP-AA101328.jpg              ,0
BAJ-AN101012        ,M,EMPAQUETADURA DE CULATA 205                                 ,RE205          ,BAJAJ               ,BAJ-AN101012.jpg              ,0
MRP-AA131016-P      ,H,EMPAQUETADURA DE DIFERENCIAL 4T (PESADO)                    ,RE175          ,MRP                 ,MRP-AA131016-P.jpg            ,0
MRP-AA121010        ,H,EMPAQUETADURA DE FILTRO/ACEITE 4T                           ,RE175          ,MRP                 ,MRP-AA121010.jpg              ,0
NAC-AA121010        ,H,EMPAQUETADURA DE FILTRO/ACEITE 4T NAC.                      ,RE175          ,NACIONAL            ,NAC-AA121010.jpg              ,0
MRP-AA101077P       ,H,EMPAQUETADURA DE TAPA/EMB 4T (PESADO)                       ,RE175          ,MRP                 ,MRP-AA101077P.jpg             ,0
ARC-24230185        ,H,ESCARPIN                                                    ,RE2T. RE4T     ,AERO RUBBER         ,ARC-24230185.jpg              ,0
MRP-01100818        ,H,ESPACIADOR DE BRONCE/EMBRAGUE 5L                            ,RE 2T          ,MRP                 ,MRP-01100818.jpg              ,0
MRP-00000006        ,H,ESPACIADOR DE DADO DE PALIER                                ,RE2T. RE4T     ,MRP                 ,MRP-00000006.jpg              ,0
BAJ-22131014        ,M,ESPACIADOR DE PIÑON PLANETARIO                              ,RE2T           ,BAJAJ               ,BAJ-22131014.jpg              ,0
MRP-22131014        ,H,ESPACIADOR DE PIÑON PLANETARIO                              ,RE4T           ,MRP                 ,MRP-22131014.jpg              ,0
MRP-22171018        ,H,ESPACIADOR EJE DELANTERO                                    ,RE2T. RE4T     ,MRP                 ,MRP-22171018.jpg              ,0
ATM-22171018        ,M,ESPACIADOR EJE DELANTERO                                    ,RE2T. RE4T     ,ATMAK               ,ATM-22171018.jpg              ,0
MRP-AA101058        ,H,ESPACIADOR EMBRAGUE 4T (PIÑON DOBLE)                        ,RE175          ,MRP                 ,MRP-AA101058.jpg              ,0
MRP-AA101058        ,H,ESPACIADOR EMBRAGUE 4T (PIÑON DOBLE)                        ,RE175          ,MRP                 ,                              ,0
MRP-03100718        ,H,ESPARRAGO EJE DELANTERO                                     ,RE2T. RE4T     ,MRP                 ,MRP-03100718.jpg              ,0
ATM-03100718        ,M,ESPARRAGO EJE DELANTERO                                     ,RE2T. RE4T     ,ATMAK               ,ATM-03100718.jpg              ,0
